Time,Flow1,Flow2,FlowDifferenceRaw,FlowDifference
09-Sep-2024 00:00:00,0.478,0.41,-0.0680000000000001,-0.1
09-Sep-2024 00:05:00,0.48,0.66,0.18,-0.19
09-Sep-2024 00:10:00,0.61,0.51,-0.1,-0.19
09-Sep-2024 00:15:00,0.6,0.41,-0.19,-0.19
09-Sep-2024 00:20:00,0.552,0.55,-0.00199999999999989,-0.19
09-Sep-2024 00:25:00,0.49,1.4,0.91,-0.19
09-Sep-2024 00:30:00,0.6,1.33,0.73,-0.19
09-Sep-2024 00:35:00,0.932,1.24,0.308,-0.00199999999999989
09-Sep-2024 00:40:00,0.502,1.3,0.798,0.308
09-Sep-2024 00:45:00,0.416,1.94,1.524,0.308
09-Sep-2024 00:50:00,0.6,2.04,1.44,0.308
09-Sep-2024 00:55:00,0.392,2.8,2.408,0.798
09-Sep-2024 01:00:00,0.696,5.19,4.494,1.44
09-Sep-2024 01:05:00,0.544,4.97,4.426,1.44
09-Sep-2024 01:10:00,0.32,5.98,5.66,2.408
09-Sep-2024 01:15:00,0.374,4.49,4.116,3.83
09-Sep-2024 01:20:00,0.43,4.26,3.83,3.83
09-Sep-2024 01:25:00,0.366,4.64,4.274,3.83
09-Sep-2024 01:30:00,0.362,4.28,3.918,3.83
09-Sep-2024 01:35:00,0.292,4.4,4.108,3.83
09-Sep-2024 01:40:00,0.292,4.9,4.608,3.918
09-Sep-2024 01:45:00,0.378,4.49,4.112,3.918
09-Sep-2024 01:50:00,0.23,4.92,4.69,4.108
09-Sep-2024 01:55:00,0.256,6.06,5.804,4.112
09-Sep-2024 02:00:00,0.24,4.48,4.24,4.052
09-Sep-2024 02:05:00,0.254,4.75,4.496,4.052
09-Sep-2024 02:10:00,0.348,4.4,4.052,4.052
09-Sep-2024 02:15:00,0.104,5.13,5.026,4.052
09-Sep-2024 02:20:00,0.296,5.58,5.284,4.052
09-Sep-2024 02:25:00,0.268,4.45,4.182,4.052
09-Sep-2024 02:30:00,0.266,4.75,4.484,4.182
09-Sep-2024 02:35:00,0.138,5.94,5.802,4.182
09-Sep-2024 02:40:00,0.3325,5.53,5.1975,4.182
09-Sep-2024 02:45:00,0.258,4.52,4.262,4.262
09-Sep-2024 02:50:00,0.188,4.61,4.422,4.262
09-Sep-2024 02:55:00,0.33,4.69,4.36,4.262
09-Sep-2024 03:00:00,0.152,5.8,5.648,4.262
09-Sep-2024 03:05:00,0.352,4.99,4.638,4.36
09-Sep-2024 03:10:00,0.264,4.95,4.686,4.052
09-Sep-2024 03:15:00,0.154,4.71,4.556,4.052
09-Sep-2024 03:20:00,0.478,4.53,4.052,4.052
09-Sep-2024 03:25:00,0.358,4.65,4.292,4.052
