Time,FlowA,FlowB,FlowC,FlowDifferenceRaw,FlowDifference
20-Nov-2024 00:00:00,4.6,0.28,0.27,4.19,1.365
20-Nov-2024 00:05:00,3.15,0.2,0.22,2.83,1.365
20-Nov-2024 00:10:00,2.19,0.25,0.14,1.925,1.76
20-Nov-2024 00:15:00,2.83,0.32,0.24,2.43,1.865
20-Nov-2024 00:20:00,2.23,0.31,0.21,1.865,1.865
20-Nov-2024 00:25:00,5.04,0.42,0.4,4.43,1.365
20-Nov-2024 00:30:00,5.46,0.42,0.23,5.02,1.205
20-Nov-2024 00:35:00,1.86,0.55,0.22,1.365,1.05
20-Nov-2024 00:40:00,1.6,0.45,0.17,1.205,1.05
20-Nov-2024 00:45:00,1.44,0.46,0.16,1.05,1.05
20-Nov-2024 00:50:00,1.5,0.41,0.13,1.165,1.05
20-Nov-2024 00:55:00,1.61,0.3,0.12,1.34,1.05
20-Nov-2024 01:00:00,1.67,0.4,0.13,1.34,0.9
20-Nov-2024 01:05:00,1.45,0.22,0.18,1.16,0.335
20-Nov-2024 01:10:00,1.42,0.66,0.19,0.9,0.335
20-Nov-2024 01:15:00,1.25,1.47,0.18,0.335,0.335
20-Nov-2024 01:20:00,1.57,0.45,0.17,1.175,0.335
20-Nov-2024 01:25:00,1.65,0.37,0.19,1.275,0.335
20-Nov-2024 01:30:00,1.43,0.73,0.17,0.895,0.335
20-Nov-2024 01:35:00,1.42,0.33,0.2,1.055,0.895
20-Nov-2024 01:40:00,1.22,0.25,0.17,0.925,0.895
20-Nov-2024 01:45:00,1.38,0.17,0.23,1.065,0.895
20-Nov-2024 01:50:00,1.91,0.18,0.15,1.67,0.925
20-Nov-2024 01:55:00,1.81,0.2,0.14,1.57,0.925
20-Nov-2024 02:00:00,1.59,0.17,0.14,1.365,1.065
20-Nov-2024 02:05:00,1.55,0.26,0.12,1.3,1.09
20-Nov-2024 02:10:00,1.37,0.26,0.13,1.11,1.09
20-Nov-2024 02:15:00,1.34,0.24,0.13,1.09,1.09
20-Nov-2024 02:20:00,1.56,0.19,0.11,1.355,1.09
20-Nov-2024 02:25:00,1.61,0.17,0.14,1.385,1.09
20-Nov-2024 02:30:00,1.42,0.15,0.15,1.195,1.075
20-Nov-2024 02:35:00,1.35,0.19,0.15,1.105,0.915
20-Nov-2024 02:40:00,1.31,0.19,0.14,1.075,0.915
20-Nov-2024 02:45:00,1.32,0.55,0.13,0.915,0.915
20-Nov-2024 02:50:00,1.26,0.21,0.14,1.015,0.915
20-Nov-2024 02:55:00,1.42,0.18,0.12,1.21,0.915
20-Nov-2024 03:00:00,1.25,0.08,0.15,1.06,0.915
20-Nov-2024 03:05:00,1.32,0.2,0.25,0.97,0.97
20-Nov-2024 03:10:00,1.5,0.32,0.31,1.03,0.97
20-Nov-2024 03:15:00,1.29,0.14,0.15,1.07,0.97
20-Nov-2024 03:20:00,1.38,0.24,0.11,1.15,0.97
20-Nov-2024 03:25:00,1.42,0.2,0.1,1.22,1.03
20-Nov-2024 03:30:00,1.27,0.12,0.08,1.13,1.07
20-Nov-2024 03:35:00,1.21,0.1,0.08,1.08,0.975
20-Nov-2024 03:40:00,1.2,0.1,0.07,1.08,0.975
20-Nov-2024 03:45:00,1.18,0.23,0.09,0.975,0.975
20-Nov-2024 03:50:00,1.29,0.14,0.08,1.14,0.975
20-Nov-2024 03:55:00,1.28,0.14,0.09,1.12,0.975
20-Nov-2024 04:00:00,1.28,0.13,0.1,1.115,0.975
20-Nov-2024 04:05:00,1.31,0.18,0.22,1,1
20-Nov-2024 04:10:00,1.32,0.19,0.1,1.125,0.625
20-Nov-2024 04:15:00,1.51,0.25,0.33,1.055,0.595
20-Nov-2024 04:20:00,1.26,0.89,0.19,0.625,0.595
20-Nov-2024 04:25:00,1.11,0.69,0.17,0.595,0.595
20-Nov-2024 04:30:00,1.22,0.25,0.13,0.965,0.595
20-Nov-2024 04:35:00,1.31,0.16,0.15,1.08,0.595
20-Nov-2024 04:40:00,1.14,0.14,0.17,0.9,0.595
20-Nov-2024 04:45:00,1.22,0.58,0.15,0.78,0.42
20-Nov-2024 04:50:00,1.42,0.24,0.15,1.15,0.42
20-Nov-2024 04:55:00,1.23,1.42,0.1,0.42,0.42
20-Nov-2024 05:00:00,1.11,0.28,0.15,0.82,0.42
20-Nov-2024 05:05:00,1.19,0.41,0.33,0.655,0.42
20-Nov-2024 05:10:00,1.26,0.3,0.27,0.84,0.42
20-Nov-2024 05:15:00,1.31,0.15,0.24,0.995,0.445
20-Nov-2024 05:20:00,1.26,0.57,0.47,0.505,0.445
20-Nov-2024 05:25:00,1.57,1.39,0.43,0.445,0.445
20-Nov-2024 05:30:00,1.59,0.78,0.37,0.83,0.4
20-Nov-2024 05:35:00,1.77,0.57,0.31,1.175,0.4
20-Nov-2024 05:40:00,1.36,1.36,0.28,0.4,0.4
20-Nov-2024 05:45:00,1.39,0.53,0.36,0.765,0.4
20-Nov-2024 05:50:00,1.46,1.5,0.26,0.45,0.4
20-Nov-2024 05:55:00,1.43,0.59,0.19,0.945,0.4
20-Nov-2024 06:00:00,4.48,0.36,0.31,3.99,0.45
20-Nov-2024 06:05:00,1.78,1.03,0.34,0.925,0.355
20-Nov-2024 06:10:00,1.91,0.79,0.39,1.125,0.355
20-Nov-2024 06:15:00,1.51,1.43,0.44,0.355,0.355
20-Nov-2024 06:20:00,1.32,0.65,0.54,0.455,0.355
20-Nov-2024 06:25:00,1.57,0.66,0.42,0.82,0.355
20-Nov-2024 06:30:00,2.09,0.5,0.28,1.56,0.355
20-Nov-2024 06:35:00,2.63,1.01,0.51,1.615,0.455
20-Nov-2024 06:40:00,2.05,1.2,0.59,0.86,0.82
20-Nov-2024 06:45:00,2.4,0.76,0.4,1.62,0.86
