Time,FlowA,FlowB,FlowC,FlowDifferenceRaw,FlowDifference
09-Sep-2024 00:00:00,4.69,0.41,3.28,1.205,-0.0800000000000001
09-Sep-2024 00:05:00,4.06,0.66,3.81,-0.0800000000000001,-0.0800000000000001
09-Sep-2024 00:10:00,6.57,0.51,3.73,2.585,-0.0800000000000001
09-Sep-2024 00:15:00,5.33,0.41,3.83,1.295,-0.0800000000000001
09-Sep-2024 00:20:00,8.58,0.55,3.87,4.435,-0.0800000000000001
09-Sep-2024 00:25:00,15.32,1.4,3.36,11.26,1.295
09-Sep-2024 00:30:00,15.69,1.33,2.92,12.105,1.295
09-Sep-2024 00:35:00,15.86,1.24,3.21,12.03,4.435
09-Sep-2024 00:40:00,20.82,1.3,2.29,17.88,11.26
09-Sep-2024 00:45:00,20.46,1.94,2.03,17.46,12.03
09-Sep-2024 00:50:00,25.82,2.04,1.73,23.07,12.03
09-Sep-2024 00:55:00,27.6,2.8,1.79,24.41,17.46
09-Sep-2024 01:00:00,31.44,5.19,1.9,26.945,17.46
09-Sep-2024 01:05:00,33.3,4.97,1.62,29.195,23.07
09-Sep-2024 01:10:00,36.5,5.98,1.63,31.88,24.41
09-Sep-2024 01:15:00,35.3,4.49,1.67,31.385,26.945
09-Sep-2024 01:20:00,33.65,4.26,1.66,29.86,29.195
09-Sep-2024 01:25:00,35.03,4.64,1.36,31.35,29.86
09-Sep-2024 01:30:00,36.67,4.28,1.27,33.26,29.86
09-Sep-2024 01:35:00,37.46,4.4,1.15,34.11,29.86
09-Sep-2024 01:40:00,37.19,4.9,1.17,33.57,31.35
09-Sep-2024 01:45:00,37.15,4.49,1.19,33.715,33.26
09-Sep-2024 01:50:00,37.99,4.92,1.18,34.35,33.42
09-Sep-2024 01:55:00,37.61,6.06,1.16,33.42,33.42
09-Sep-2024 02:00:00,38.64,4.48,1.13,35.27,33.42
09-Sep-2024 02:05:00,39.36,4.75,0.93,36.055,33.42
09-Sep-2024 02:10:00,37.94,4.4,0.69,35.05,33.42
09-Sep-2024 02:15:00,38.65,5.13,0.69,35.395,35.05
09-Sep-2024 02:20:00,39.14,5.58,0.68,35.67,35.05
09-Sep-2024 02:25:00,40.29,4.45,0.64,37.425,35.05
09-Sep-2024 02:30:00,40.33,4.75,0.65,37.305,35.395
09-Sep-2024 02:35:00,39.75,5.94,0.6,36.18,35.67
09-Sep-2024 02:40:00,40.33,5.53,0.63,36.935,35.575
09-Sep-2024 02:45:00,38.8,4.52,0.62,35.92,35.485
09-Sep-2024 02:50:00,38.61,4.61,0.73,35.575,35.485
09-Sep-2024 02:55:00,38.32,4.69,0.49,35.485,35.485
09-Sep-2024 03:00:00,40.01,5.8,0.54,36.57,35.485
09-Sep-2024 03:05:00,38.41,4.99,0.43,35.485,34.815
09-Sep-2024 03:10:00,38.57,4.95,0.45,35.645,34.815
09-Sep-2024 03:15:00,37.6,4.71,0.43,34.815,34.815
09-Sep-2024 03:20:00,38.28,4.53,0.48,35.535,34.735
09-Sep-2024 03:25:00,37.82,4.65,0.58,34.915,33.48
09-Sep-2024 03:30:00,38.03,5.51,0.54,34.735,33.48
09-Sep-2024 03:35:00,36.76,5.7,0.43,33.48,33.48
